segment,start_stop,end_stop,start_time,end_time,run
Main Gate to Cowell,1341,2102,00:00:00,07:35:00,5
Cowell to Sci Hill,2102,1615,00:00:00,07:35:00,3
Sci Hill to Oakes,1615,1505,00:00:00,07:35:00,5
Oakes to Main Gt,1505,1341,00:00:00,07:35:00,4
Main Gate to Cowell,1341,2102,07:35:00,07:55:00,6
Cowell to Sci Hill,2102,1615,07:35:00,07:55:00,4
Sci Hill to Oakes,1615,1505,07:35:00,07:55:00,5
Oakes to Main Gt,1505,1341,07:35:00,07:55:00,5
Main Gate to Cowell,1341,2102,07:55:00,09:15:00,6
Cowell to Sci Hill,2102,1615,07:55:00,09:15:00,4
Sci Hill to Oakes,1615,1505,07:55:00,09:15:00,5
Oakes to Main Gt,1505,1341,07:55:00,09:15:00,5
Main Gate to Cowell,1341,2102,09:15:00,09:45:00,7
Cowell to Sci Hill,2102,1615,09:15:00,09:45:00,5
Sci Hill to Oakes,1615,1505,09:15:00,09:45:00,6
Oakes to Main Gt,1505,1341,09:15:00,09:45:00,5
Main Gate to Cowell,1341,2102,09:45:00,11:05:00,6
Cowell to Sci Hill,2102,1615,09:45:00,11:05:00,4
Sci Hill to Oakes,1615,1505,09:45:00,11:05:00,5
Oakes to Main Gt,1505,1341,09:45:00,11:05:00,5
Main Gate to Cowell,1341,2102,11:05:00,11:35:00,7
Cowell to Sci Hill,2102,1615,11:05:00,11:35:00,5
Sci Hill to Oakes,1615,1505,11:05:00,11:35:00,6
Oakes to Main Gt,1505,1341,11:05:00,11:35:00,5
Main Gate to Cowell,1341,2102,11:35:00,12:55:00,6
Cowell to Sci Hill,2102,1615,11:35:00,12:55:00,4
Sci Hill to Oakes,1615,1505,11:35:00,12:55:00,5
Oakes to Main Gt,1505,1341,11:35:00,12:55:00,5
Main Gate to Cowell,1341,2102,12:55:00,13:25:00,7
Cowell to Sci Hill,2102,1615,12:55:00,13:25:00,5
Sci Hill to Oakes,1615,1505,12:55:00,13:25:00,6
Oakes to Main Gt,1505,1341,12:55:00,13:25:00,5
Main Gate to Cowell,1341,2102,13:25:00,14:45:00,6
Cowell to Sci Hill,2102,1615,13:25:00,14:45:00,4
Sci Hill to Oakes,1615,1505,13:25:00,14:45:00,5
Oakes to Main Gt,1505,1341,13:25:00,14:45:00,5
Main Gate to Cowell,1341,2102,14:45:00,15:15:00,7
Cowell to Sci Hill,2102,1615,14:45:00,15:15:00,5
Sci Hill to Oakes,1615,1505,14:45:00,15:15:00,6
Oakes to Main Gt,1505,1341,14:45:00,15:15:00,5
Main Gate to Cowell,1341,2102,15:15:00,16:45:00,6
Cowell to Sci Hill,2102,1615,15:15:00,16:45:00,4
Sci Hill to Oakes,1615,1505,15:15:00,16:45:00,5
Oakes to Main Gt,1505,1341,15:15:00,16:45:00,5
Main Gate to Cowell,1341,2102,16:45:00,17:05:00,7
Cowell to Sci Hill,2102,1615,16:45:00,17:05:00,5
Sci Hill to Oakes,1615,1505,16:45:00,17:05:00,6
Oakes to Main Gt,1505,1341,16:45:00,17:05:00,5
Main Gate to Cowell,1341,2102,17:05:00,17:25:00,7
Cowell to Sci Hill,2102,1615,17:05:00,17:25:00,5
Sci Hill to Oakes,1615,1505,17:05:00,17:25:00,6
Oakes to Main Gt,1505,1341,17:05:00,17:25:00,5
Main Gate to Cowell,1341,2102,17:25:00,18:35:00,6
Cowell to Sci Hill,2102,1615,17:25:00,18:35:00,4
Sci Hill to Oakes,1615,1505,17:25:00,18:35:00,5
Oakes to Main Gt,1505,1341,17:25:00,18:35:00,5
Main Gate to Cowell,1341,2102,18:35:00,18:55:00,6
Cowell to Sci Hill,2102,1615,18:35:00,18:55:00,4
Sci Hill to Oakes,1615,1505,18:35:00,18:55:00,5
Oakes to Main Gt,1505,1341,18:35:00,18:55:00,5
Main Gate to Cowell,1341,2102,18:55:00,19:05:00,7
Cowell to Sci Hill,2102,1615,18:55:00,19:05:00,5
Sci Hill to Oakes,1615,1505,18:55:00,19:05:00,6
Oakes to Main Gt,1505,1341,18:55:00,19:05:00,5
Main Gate to Cowell,1341,2102,19:05:00,20:55:00,6
Cowell to Sci Hill,2102,1615,19:05:00,20:55:00,4
Sci Hill to Oakes,1615,1505,19:05:00,20:55:00,5
Oakes to Main Gt,1505,1341,19:05:00,20:55:00,5
Main Gate to Cowell,1341,2102,20:55:00,23:59:00,5
Cowell to Sci Hill,2102,1615,20:55:00,23:59:00,3
Sci Hill to Oakes,1615,1505,20:55:00,23:59:00,5
Oakes to Main Gt,1505,1341,20:55:00,23:59:00,4
