segment,start_stop,end_stop,start_time,end_time,run
Cowell to Sci Hill,2102,1615,11:35:00,11:45:00,4
Sci Hill to Oakes,1615,1505,11:35:00,11:45:00,5
Oakes to Main Gt,1505,1341,11:35:00,11:45:00,4
Main Gate to Cowell,1341,2102,11:45:00,12:55:00,9
Cowell to Sci Hill,2102,1615,11:45:00,12:55:00,4
Sci Hill to Oakes,1615,1505,11:45:00,12:55:00,5
Oakes to Main Gt,1505,1341,11:45:00,12:55:00,3
Main Gate to Cowell,1341,2102,12:55:00,13:05:00,9
Cowell to Sci Hill,2102,1615,12:55:00,13:05:00,6
Sci Hill to Oakes,1615,1505,12:55:00,13:05:00,6
Oakes to Main Gt,1505,1341,12:55:00,13:05:00,4
Main Gate to Cowell,1341,2102,13:05:00,13:25:00,9
Cowell to Sci Hill,2102,1615,13:05:00,13:25:00,7
Sci Hill to Oakes,1615,1505,13:05:00,13:25:00,6
Oakes to Main Gt,1505,1341,13:05:00,13:25:00,4
Main Gate to Cowell,1341,2102,13:25:00,13:35:00,9
Cowell to Sci Hill,2102,1615,13:25:00,13:35:00,5
Sci Hill to Oakes,1615,1505,13:25:00,13:35:00,5
Oakes to Main Gt,1505,1341,13:25:00,13:35:00,3
Main Gate to Cowell,1341,2102,13:35:00,14:45:00,9
Cowell to Sci Hill,2102,1615,13:35:00,14:45:00,4
Sci Hill to Oakes,1615,1505,13:35:00,14:45:00,5
Oakes to Main Gt,1505,1341,13:35:00,14:45:00,3
Main Gate to Cowell,1341,2102,14:45:00,14:55:00,9
Cowell to Sci Hill,2102,1615,14:45:00,14:55:00,5
Sci Hill to Oakes,1615,1505,14:45:00,14:55:00,5
Oakes to Main Gt,1505,1341,14:45:00,14:55:00,4
Main Gate to Cowell,1341,2102,14:55:00,15:15:00,9
Cowell to Sci Hill,2102,1615,14:55:00,15:15:00,6
Sci Hill to Oakes,1615,1505,14:55:00,15:15:00,9
Oakes to Main Gt,1505,1341,14:55:00,15:15:00,4
Main Gate to Cowell,1341,2102,15:15:00,15:25:00,9
Cowell to Sci Hill,2102,1615,15:15:00,15:25:00,5
Sci Hill to Oakes,1615,1505,15:15:00,15:25:00,5
Oakes to Main Gt,1505,1341,15:15:00,15:25:00,4
Main Gate to Cowell,1341,2102,15:25:00,16:45:00,9
Cowell to Sci Hill,2102,1615,15:25:00,16:45:00,4
Sci Hill to Oakes,1615,1505,15:25:00,16:45:00,5
Oakes to Main Gt,1505,1341,15:25:00,16:45:00,4
Main Gate to Cowell,1341,2102,16:45:00,16:55:00,9
Cowell to Sci Hill,2102,1615,16:45:00,16:55:00,5
Sci Hill to Oakes,1615,1505,16:45:00,16:55:00,7
Oakes to Main Gt,1505,1341,16:45:00,16:55:00,4
Main Gate to Cowell,1341,2102,16:55:00,17:05:00,9
Cowell to Sci Hill,2102,1615,16:55:00,17:05:00,6
Sci Hill to Oakes,1615,1505,16:55:00,17:05:00,9
Oakes to Main Gt,1505,1341,16:55:00,17:05:00,4
Main Gate to Cowell,1341,2102,17:05:00,17:15:00,9
Cowell to Sci Hill,2102,1615,17:05:00,17:15:00,6
Sci Hill to Oakes,1615,1505,17:05:00,17:15:00,9
Oakes to Main Gt,1505,1341,17:05:00,17:15:00,4
Main Gate to Cowell,1341,2102,17:15:00,17:25:00,9
Cowell to Sci Hill,2102,1615,17:15:00,17:25:00,4
Sci Hill to Oakes,1615,1505,17:15:00,17:25:00,7
Oakes to Main Gt,1505,1341,17:15:00,17:25:00,4
Main Gate to Cowell,1341,2102,17:25:00,18:45:00,9
Cowell to Sci Hill,2102,1615,17:25:00,18:45:00,4
Sci Hill to Oakes,1615,1505,17:25:00,18:45:00,5
Oakes to Main Gt,1505,1341,17:25:00,18:45:00,3
Main Gate to Cowell,1341,2102,18:45:00,19:05:00,9
Cowell to Sci Hill,2102,1615,18:45:00,19:05:00,5
Sci Hill to Oakes,1615,1505,18:45:00,19:05:00,6
Oakes to Main Gt,1505,1341,18:45:00,19:05:00,3
Main Gate to Cowell,1341,2102,19:05:00,19:55:00,9
Cowell to Sci Hill,2102,1615,19:05:00,19:55:00,4
Sci Hill to Oakes,1615,1505,19:05:00,19:55:00,5
Oakes to Main Gt,1505,1341,19:05:00,19:55:00,3
Main Gate to Cowell,1341,2102,19:55:00,23:59:00,9
Cowell to Sci Hill,2102,1615,19:55:00,23:59:00,4
Sci Hill to Oakes,1615,1505,19:55:00,23:59:00,4
Oakes to Main Gt,1505,1341,19:55:00,23:59:00,3
