segment,start_stop,end_stop,start_time,end_time,run
WRM to Oakes,101,2670,06:00:00,08:45:00,2
Oakes to Science Hill,2670,2674,06:00:00,08:45:00,4
Science Hill to Cowste,2674,2676,06:00:00,08:45:00,3
Cowste to ERM,2676,100,06:00:00,08:45:00,2
WRM to Oakes,101,2670,08:45:00,09:25:00,2
Oakes to Science Hill,2670,2674,08:45:00,09:25:00,5
Science Hill to Cowste,2674,2676,08:45:00,09:25:00,4
Cowste to ERM,2676,100,08:45:00,09:25:00,2
WRM to Oakes,101,2670,09:25:00,10:05:00,2
Oakes to Science Hill,2670,2674,09:25:00,10:05:00,5
Science Hill to Cowste,2674,2676,09:25:00,10:05:00,3
Cowste to ERM,2676,100,09:25:00,10:05:00,2
WRM to Oakes,101,2670,10:05:00,10:15:00,2
Oakes to Science Hill,2670,2674,10:05:00,10:15:00,5
Science Hill to Cowste,2674,2676,10:05:00,10:15:00,4
Cowste to ERM,2676,100,10:05:00,10:15:00,2
WRM to Oakes,101,2670,10:15:00,10:35:00,2
Oakes to Science Hill,2670,2674,10:15:00,10:35:00,7
Science Hill to Cowste,2674,2676,10:15:00,10:35:00,5
Cowste to ERM,2676,100,10:15:00,10:35:00,2
WRM to Oakes,101,2670,10:35:00,11:25:00,2
Oakes to Science Hill,2670,2674,10:35:00,11:25:00,5
Science Hill to Cowste,2674,2676,10:35:00,11:25:00,4
Cowste to ERM,2676,100,10:35:00,11:25:00,2
WRM to Oakes,101,2670,11:25:00,11:35:00,2
Oakes to Science Hill,2670,2674,11:25:00,11:35:00,6
Science Hill to Cowste,2674,2676,11:25:00,11:35:00,4
Cowste to ERM,2676,100,11:25:00,11:35:00,2
WRM to Oakes,101,2670,11:35:00,11:55:00,2
Oakes to Science Hill,2670,2674,11:35:00,11:55:00,8
Science Hill to Cowste,2674,2676,11:35:00,11:55:00,6
Cowste to ERM,2676,100,11:35:00,11:55:00,2
WRM to Oakes,101,2670,11:55:00,12:55:00,2
Oakes to Science Hill,2670,2674,11:55:00,12:55:00,5
Science Hill to Cowste,2674,2676,11:55:00,12:55:00,4
Cowste to ERM,2676,100,11:55:00,12:55:00,2
WRM to Oakes,101,2670,12:55:00,13:15:00,3
Oakes to Science Hill,2670,2674,12:55:00,13:15:00,7
Science Hill to Cowste,2674,2676,12:55:00,13:15:00,5
Cowste to ERM,2676,100,12:55:00,13:15:00,2
WRM to Oakes,101,2670,13:15:00,14:15:00,2
Oakes to Science Hill,2670,2674,13:15:00,14:15:00,5
Science Hill to Cowste,2674,2676,13:15:00,14:15:00,4
Cowste to ERM,2676,100,13:15:00,14:15:00,2
WRM to Oakes,101,2670,14:15:00,14:35:00,2
Oakes to Science Hill,2670,2674,14:15:00,14:35:00,6
Science Hill to Cowste,2674,2676,14:15:00,14:35:00,6
Cowste to ERM,2676,100,14:15:00,14:35:00,2
WRM to Oakes,101,2670,14:35:00,15:45:00,2
Oakes to Science Hill,2670,2674,14:35:00,15:45:00,5
Science Hill to Cowste,2674,2676,14:35:00,15:45:00,4
Cowste to ERM,2676,100,14:35:00,15:45:00,2
WRM to Oakes,101,2670,15:45:00,16:05:00,3
Oakes to Science Hill,2670,2674,15:45:00,16:05:00,6
Science Hill to Cowste,2674,2676,15:45:00,16:05:00,5
Cowste to ERM,2676,100,15:45:00,16:05:00,2
WRM to Oakes,101,2670,16:05:00,16:55:00,2
Oakes to Science Hill,2670,2674,16:05:00,16:55:00,4
Science Hill to Cowste,2674,2676,16:05:00,16:55:00,4
Cowste to ERM,2676,100,16:05:00,16:55:00,2
WRM to Oakes,101,2670,16:55:00,17:05:00,2
Oakes to Science Hill,2670,2674,16:55:00,17:05:00,7
Science Hill to Cowste,2674,2676,16:55:00,17:05:00,6
Cowste to ERM,2676,100,16:55:00,17:05:00,2
WRM to Oakes,101,2670,17:05:00,17:25:00,2
Oakes to Science Hill,2670,2674,17:05:00,17:25:00,5
Science Hill to Cowste,2674,2676,17:05:00,17:25:00,4
Cowste to ERM,2676,100,17:05:00,17:25:00,2
WRM to Oakes,101,2670,17:25:00,17:35:00,2
Oakes to Science Hill,2670,2674,17:25:00,17:35:00,5
Science Hill to Cowste,2674,2676,17:25:00,17:35:00,4
Cowste to ERM,2676,100,17:25:00,17:35:00,2
WRM to Oakes,101,2670,17:35:00,18:35:00,2
Oakes to Science Hill,2670,2674,17:35:00,18:35:00,5
Science Hill to Cowste,2674,2676,17:35:00,18:35:00,4
Cowste to ERM,2676,100,17:35:00,18:35:00,2
WRM to Oakes,101,2670,18:35:00,18:45:00,2
Oakes to Science Hill,2670,2674,18:35:00,18:45:00,5
Science Hill to Cowste,2674,2676,18:35:00,18:45:00,4
Cowste to ERM,2676,100,18:35:00,18:45:00,2
WRM to Oakes,101,2670,18:45:00,19:05:00,2
Oakes to Science Hill,2670,2674,18:45:00,19:05:00,6
Science Hill to Cowste,2674,2676,18:45:00,19:05:00,5
Cowste to ERM,2676,100,18:45:00,19:05:00,2
WRM to Oakes,101,2670,19:05:00,23:59:00,2
Oakes to Science Hill,2670,2674,19:05:00,23:59:00,5
Science Hill to Cowste,2674,2676,19:05:00,23:59:00,4
Cowste to ERM,2676,100,19:05:00,23:59:00,2
