route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LOOP,2,20101,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20102,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20103,Counter Clockwise Loop,,201,LOOP_OUTER_TO_MG,,
LOOP,2,20104,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20105,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20106,Counter Clockwise Loop,,201,LOOP_OUTER_TO_MG,,
LOOP,2,20107,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20108,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20109,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20110,Counter Clockwise Loop,,201,LOOP_OUTER_TO_MG,,
LOOP,2,20111,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20112,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20113,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20114,Counter Clockwise Loop,,201,LOOP_OUTER,,
LOOP,2,20115,Counter Clockwise Loop,,201,LOOP_OUTER_TO_MG,,
LOOP,2,20201,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20202,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20203,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20204,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20205,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20206,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20207,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20208,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20209,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20210,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20211,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20212,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20213,Counter Clockwise Loop,,202,LOOP_OUTER,,
LOOP,2,20214,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20215,Counter Clockwise Loop,,202,LOOP_OUTER_TO_MG,,
LOOP,2,20301,Counter Clockwise Loop,,203,LOOP_OUTER,,
LOOP,2,20302,Counter Clockwise Loop,,203,LOOP_OUTER_TO_MG,,
LOOP,2,20304,Counter Clockwise Loop,,203,LOOP_OUTER_TO_MG,,
LOOP,2,20305,Counter Clockwise Loop,,203,LOOP_OUTER,,
LOOP,2,20306,Counter Clockwise Loop,,203,LOOP_OUTER,,
LOOP,2,20307,Counter Clockwise Loop,,203,LOOP_OUTER_TO_MG,,
LOOP,2,20308,Counter Clockwise Loop,,203,LOOP_OUTER,,
